ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
230221,230200,龙江县,龙江,"中国,黑龙江省,齐齐哈尔市,龙江县",Longjiang,3,452,161100,12.320.532,4.733.868,,
230223,230200,依安县,依安,"中国,黑龙江省,齐齐哈尔市,依安县",Yi'an,3,452,161500,12.530.896,478.931,,
230224,230200,泰来县,泰来,"中国,黑龙江省,齐齐哈尔市,泰来县",Tailai,3,452,162400,12.342.285,4.639.386,,
230225,230200,甘南县,甘南,"中国,黑龙江省,齐齐哈尔市,甘南县",Gannan,3,452,162100,12.350.317,4.792.437,,
230227,230200,富裕县,富裕,"中国,黑龙江省,齐齐哈尔市,富裕县",Fuyu,3,452,161200,12.447.457,4.777.431,,
230229,230200,克山县,克山,"中国,黑龙江省,齐齐哈尔市,克山县",Keshan,3,452,161600,12.587.396,4.803.265,,
230230,230200,克东县,克东,"中国,黑龙江省,齐齐哈尔市,克东县",Kedong,3,452,164800,12.624.917,4.803.828,,
230231,230200,拜泉县,拜泉,"中国,黑龙江省,齐齐哈尔市,拜泉县",Baiquan,3,452,164700,12.609.167,4.760.817,,
230281,230200,讷河市,讷河,"中国,黑龙江省,齐齐哈尔市,讷河市",Nehe,3,452,161300,12.487.713,4.848.388,,
230300,230000,鸡西市,鸡西,"中国,黑龙江省,鸡西市",Jixi,2,467,158100,130.975.966,45.300.046,1A2,
230302,230300,鸡冠区,鸡冠,"中国,黑龙江省,鸡西市,鸡冠区",Jiguan,3,467,158100,13.098.139,4.530.396,,
230303,230300,恒山区,恒山,"中国,黑龙江省,鸡西市,恒山区",Hengshan,3,467,158130,13.090.493,4.521.071,,
230304,230300,滴道区,滴道,"中国,黑龙江省,鸡西市,滴道区",Didao,3,467,158150,13.084.841,4.535.109,,
230305,230300,梨树区,梨树,"中国,黑龙江省,鸡西市,梨树区",Lishu,3,467,158160,13.069.848,4.509.037,,
230306,230300,城子河区,城子河,"中国,黑龙江省,鸡西市,城子河区",Chengzihe,3,467,158170,13.101.132,4.533.689,,
230307,230300,麻山区,麻山,"中国,黑龙江省,鸡西市,麻山区",Mashan,3,467,158180,13.047.811,4.521.209,,
230321,230300,鸡东县,鸡东,"中国,黑龙江省,鸡西市,鸡东县",Jidong,3,467,158200,13.112.423,4.526.025,,
230381,230300,虎林市,虎林,"中国,黑龙江省,鸡西市,虎林市",Hulin,3,467,158400,13.293.679,4.576.291,,
230382,230300,密山市,密山,"中国,黑龙江省,鸡西市,密山市",Mishan,3,467,158300,13.184.625,455.297,,
230400,230000,鹤岗市,鹤岗,"中国,黑龙江省,鹤岗市",Hegang,2,468,154100,130.277.487,47.332.085,1A2,
230402,230400,向阳区,向阳,"中国,黑龙江省,鹤岗市,向阳区",Xiangyang,3,468,154100,1.302.943,4.734.247,,
230403,230400,工农区,工农,"中国,黑龙江省,鹤岗市,工农区",Gongnong,3,468,154101,13.027.468,4.731.869,,
230404,230400,南山区,南山,"中国,黑龙江省,鹤岗市,南山区",Nanshan,3,468,154104,13.027.676,4.731.404,,
230405,230400,兴安区,兴安,"中国,黑龙江省,鹤岗市,兴安区",Xing'an,3,468,154102,13.023.965,472.526,,
230406,230400,东山区,东山,"中国,黑龙江省,鹤岗市,东山区",Dongshan,3,468,154106,13.031.706,4.733.853,,
230407,230400,兴山区,兴山,"中国,黑龙江省,鹤岗市,兴山区",Xingshan,3,468,154105,13.029.271,4.735.776,,
230421,230400,萝北县,萝北,"中国,黑龙江省,鹤岗市,萝北县",Luobei,3,468,154200,13.083.346,4.757.959,,
230422,230400,绥滨县,绥滨,"中国,黑龙江省,鹤岗市,绥滨县",Suibin,3,468,156200,13.186.029,472.903,,
230500,230000,双鸭山市,双鸭山,"中国,黑龙江省,双鸭山市",Shuangyashan,2,469,155100,131.157.304,46.643.442,1A2,
230502,230500,尖山区,尖山,"中国,黑龙江省,双鸭山市,尖山区",Jianshan,3,469,155100,13.115.841,4.664.635,,
230503,230500,岭东区,岭东,"中国,黑龙江省,双鸭山市,岭东区",Lingdong,3,469,155120,13.116.473,4.659.043,,
230505,230500,四方台区,四方台,"中国,黑龙江省,双鸭山市,四方台区",Sifangtai,3,469,155130,13.133.593,4.659.499,,
230506,230500,宝山区,宝山,"中国,黑龙江省,双鸭山市,宝山区",Baoshan,3,469,155131,1.314.016,4.657.718,,
230521,230500,集贤县,集贤,"中国,黑龙江省,双鸭山市,集贤县",Jixian,3,469,155900,13.114.053,4.672.678,,
230522,230500,友谊县,友谊,"中国,黑龙江省,双鸭山市,友谊县",Youyi,3,469,155800,13.180.789,4.676.739,,
230523,230500,宝清县,宝清,"中国,黑龙江省,双鸭山市,宝清县",Baoqing,3,469,155600,13.219.695,4.632.716,,
230524,230500,饶河县,饶河,"中国,黑龙江省,双鸭山市,饶河县",Raohe,3,469,155700,13.401.986,4.679.899,,
230600,230000,大庆市,大庆,"中国,黑龙江省,大庆市",Daqing,2,459,163000,12.511.272,46.590.734,1A2,
230602,230600,萨尔图区,萨尔图,"中国,黑龙江省,大庆市,萨尔图区",Saertu,3,459,163001,12.508.792,4.659.359,,
230603,230600,龙凤区,龙凤,"中国,黑龙江省,大庆市,龙凤区",Longfeng,3,459,163711,12.511.657,4.653.273,,
230604,230600,让胡路区,让胡路,"中国,黑龙江省,大庆市,让胡路区",Ranghulu,3,459,163712,12.487.075,466.522,,
230605,230600,红岗区,红岗,"中国,黑龙江省,大庆市,红岗区",Honggang,3,459,163511,12.489.248,4.640.128,,
230606,230600,大同区,大同,"中国,黑龙江省,大庆市,大同区",Datong,3,459,163515,12.481.591,4.603.295,,
230621,230600,肇州县,肇州,"中国,黑龙江省,大庆市,肇州县",Zhaozhou,3,459,166400,12.527.059,4.570.414,,
230622,230600,肇源县,肇源,"中国,黑龙江省,大庆市,肇源县",Zhaoyuan,3,459,166500,12.508.456,4.552.032,,
230623,230600,林甸县,林甸,"中国,黑龙江省,大庆市,林甸县",Lindian,3,459,166300,12.487.564,4.718.601,,
230624,230600,杜尔伯特蒙古族自治县,杜尔伯特,"中国,黑龙江省,大庆市,杜尔伯特蒙古族自治县",Duerbote,3,459,166200,12.444.937,4.686.507,,
230700,230000,伊春市,伊春,"中国,黑龙江省,伊春市",Yichun,2,458,153000,128.899.396,47.724.775,1A2,
230702,230700,伊春区,伊春,"中国,黑龙江省,伊春市,伊春区",Yichun,3,458,153000,12.890.752,47.728,,
230703,230700,南岔区,南岔,"中国,黑龙江省,伊春市,南岔区",Nancha,3,458,153100,12.928.362,4.713.897,,
230704,230700,友好区,友好,"中国,黑龙江省,伊春市,友好区",Youhao,3,458,153031,12.884.039,4.785.371,,
230705,230700,西林区,西林,"中国,黑龙江省,伊春市,西林区",Xilin,3,458,153025,12.931.201,4.748.103,,
230706,230700,翠峦区,翠峦,"中国,黑龙江省,伊春市,翠峦区",Cuiluan,3,458,153013,12.866.729,4.772.503,,
230707,230700,新青区,新青,"中国,黑龙江省,伊春市,新青区",Xinqing,3,458,153036,12.953.653,4.829.067,,
230708,230700,美溪区,美溪,"中国,黑龙江省,伊春市,美溪区",Meixi,3,458,153021,12.913.708,4.763.513,,
230709,230700,金山屯区,金山屯,"中国,黑龙江省,伊春市,金山屯区",Jinshantun,3,458,153026,12.943.768,4.741.349,,
230710,230700,五营区,五营,"中国,黑龙江省,伊春市,五营区",Wuying,3,458,153033,12.924.545,4.810.791,,
230711,230700,乌马河区,乌马河,"中国,黑龙江省,伊春市,乌马河区",Wumahe,3,458,153011,12.879.672,47.728,,
230712,230700,汤旺河区,汤旺河,"中国,黑龙江省,伊春市,汤旺河区",Tangwanghe,3,458,153037,12.957.226,4.845.182,,
230713,230700,带岭区,带岭,"中国,黑龙江省,伊春市,带岭区",Dailing,3,458,153106,12.902.352,4.702.553,,
230714,230700,乌伊岭区,乌伊岭,"中国,黑龙江省,伊春市,乌伊岭区",Wuyiling,3,458,153038,12.943.981,4.859.602,,
230715,230700,红星区,红星,"中国,黑龙江省,伊春市,红星区",Hongxing,3,458,153035,1.293.887,4.823.944,,
230716,230700,上甘岭区,上甘岭,"中国,黑龙江省,伊春市,上甘岭区",Shangganling,3,458,153032,12.902.447,4.797.522,,
230722,230700,嘉荫县,嘉荫,"中国,黑龙江省,伊春市,嘉荫县",Jiayin,3,458,153200,13.039.825,488.917,,
230781,230700,铁力市,铁力,"中国,黑龙江省,伊春市,铁力市",Tieli,3,458,152500,1.280.317,4.698.571,,
230800,230000,佳木斯市,佳木斯,"中国,黑龙江省,佳木斯市",Jiamusi,2,454,154002,130.361.634,46.809.606,1A2,
230803,230800,向阳区,向阳,"中国,黑龙江省,佳木斯市,向阳区",Xiangyang,3,454,154002,13.036.519,4.680.778,,
230804,230800,前进区,前进,"中国,黑龙江省,佳木斯市,前进区",Qianjin,3,454,154002,13.037.497,4.681.401,,
230805,230800,东风区,东风,"中国,黑龙江省,佳木斯市,东风区",Dongfeng,3,454,154005,13.040.366,4.682.257,,
230811,230800,郊区,郊区,"中国,黑龙江省,佳木斯市,郊区",Jiaoqu,3,454,154004,13.032.731,4.680.958,,
230822,230800,桦南县,桦南,"中国,黑龙江省,佳木斯市,桦南县",Huanan,3,454,154400,13.055.361,4.623.921,,
